timestamp,site,marca_buscada,produto,preco,url
2026-06-24 15:24:57,Sonda Delivery,Spaten,Cerveja munich helles Spaten lata 269ml,"3,79",https://www.sondadelivery.com.br/delivery/produto/cerveja-munich-helles-spaten-lata-269ml/1000043131
2026-06-24 15:24:57,Sonda Delivery,Spaten,Cerveja munich puro malte Spaten lata 350ml,"4,89",https://www.sondadelivery.com.br/delivery/produto/cerveja-munich-puro-malte-spaten-lata-350ml/1000039001
2026-06-24 15:24:57,Sonda Delivery,Stella Artois Pure Gold,Cerveja pure gold Stella Artois lata 269ml,"5,05",https://www.sondadelivery.com.br/delivery/produto/cerveja-pure-gold-stella-artois-lata-269ml/1000049712
2026-06-24 15:24:57,Sonda Delivery,Stella Artois Pure Gold,Cerveja pure gold Stella Artois lata 350ml,"5,29",https://www.sondadelivery.com.br/delivery/produto/cerveja-pure-gold-stella-artois-lata-350ml/1000048737
2026-06-24 15:24:57,Sonda Delivery,Stella Artois Pure Gold,Cerveja pure gold Stella Artois long neck 330ml,"7,39",https://www.sondadelivery.com.br/delivery/produto/cerveja-pure-gold-stella-artois-long-neck-330ml/1000047453
2026-06-24 15:24:57,Sonda Delivery,Spaten,Cerveja puro malte munich helles Spaten garrafa 600ml,"9,99",https://www.sondadelivery.com.br/delivery/produto/cerveja-puro-malte-munich-helles-spaten-garrafa-600ml/1000041988
2026-06-24 15:24:57,Sonda Delivery,Spaten,Cerveja puro malte Spaten long neck 330ml,"5,99",https://www.sondadelivery.com.br/delivery/produto/cerveja-puro-malte-spaten-long-neck-330ml/1000050531
2026-06-24 15:24:57,Sonda Delivery,Michelob,Cerveja ultra Michelob lata 350ml,"5,82",https://www.sondadelivery.com.br/delivery/produto/cerveja-ultra-michelob-lata-350ml/1000040890
2026-06-24 15:24:57,Sam's Club,Heineken,Cerveja Heineken Ultimate Long Neck 6x330ml,"43,74",https://www.samsclub.com.br/cerveja-heineken-ultimate-long-neck-6x330ml-7896045507702/p
2026-06-24 15:24:57,Sam's Club,Heineken,Cerveja Lager Heineken Garrafa 600ml,"13,48",https://www.samsclub.com.br/cerveja-lager-heineken-600ml-0000078905498/p
2026-06-24 15:24:57,Sam's Club,Heineken,Cerveja Heineken Long Neck 6x250ml,"31,98",https://www.samsclub.com.br/cerveja-heineken-long-neck-6-250ml-7896045507276/p
